Date,Index
2016-12-20,976.0
2016-12-19,1037.0
2016-12-16,1126.0
2016-12-15,1234.0
2016-12-14,1332.0
2016-12-13,1419.0
2016-12-12,1469.0
2016-12-09,1508.0
2016-12-08,1547.0
2016-12-07,1565.0
2016-12-06,1563.0
2016-12-05,1541.0
2016-12-02,1508.0
2016-12-01,1486.0
2016-11-30,1465.0
2016-11-29,1424.0
2016-11-28,1400.0
2016-11-25,1389.0
2016-11-24,1385.0
2016-11-23,1387.0
2016-11-22,1382.0
2016-11-21,1387.0
2016-11-18,1388.0
2016-11-17,1353.0
2016-11-16,1263.0
2016-11-15,1162.0
2016-11-14,1058.0
2016-11-11,1011.0
2016-11-10,956.0
2016-11-09,927.0
2016-11-08,903.0
2016-11-07,889.0
2016-11-04,885.0
2016-11-03,886.0
2016-11-02,885.0
2016-11-01,895.0
2016-10-31,905.0
2016-10-28,913.0
2016-10-27,921.0
2016-10-26,925.0
2016-10-25,925.0
2016-10-24,923.0
2016-10-21,915.0
2016-10-20,905.0
2016-10-19,885.0
2016-10-18,860.0
2016-10-17,838.0
2016-10-14,819.0
2016-10-13,790.0
2016-10-12,763.0
2016-10-11,745.0
2016-10-10,729.0
2016-10-07,717.0
2016-10-06,704.0
2016-10-05,699.0
2016-10-04,705.0
2016-10-03,713.0
2016-09-30,726.0
2016-09-29,741.0
2016-09-28,751.0
2016-09-27,750.0
2016-09-26,739.0
2016-09-23,722.0
2016-09-22,700.0
2016-09-21,673.0
2016-09-20,657.0
2016-09-19,650.0
2016-09-16,646.0
2016-09-15,645.0
2016-09-14,649.0
2016-09-13,656.0
2016-09-12,659.0
2016-09-09,658.0
2016-09-08,655.0
2016-09-07,648.0
2016-09-06,641.0
2016-09-05,640.0
2016-09-02,644.0
2016-09-01,652.0
2016-08-31,660.0
2016-08-30,674.0
2016-08-26,687.0
2016-08-25,700.0
2016-08-24,706.0
2016-08-23,714.0
2016-08-22,721.0
2016-08-19,727.0
2016-08-18,727.0
2016-08-17,726.0
2016-08-16,721.0
2016-08-15,713.0
2016-08-12,703.0
2016-08-11,687.0
2016-08-10,659.0
2016-08-09,642.0
2016-08-08,638.0
2016-08-05,640.0
2016-08-04,641.0
2016-08-03,648.0
2016-08-02,658.0
2016-08-01,673.0
2016-07-29,692.0
2016-07-28,719.0
2016-07-27,752.0
2016-07-26,784.0
2016-07-25,806.0
2016-07-22,827.0
2016-07-21,850.0
2016-07-20,872.0
2016-07-19,879.0
2016-07-18,874.0
2016-07-15,863.0
2016-07-14,842.0
2016-07-13,819.0
2016-07-12,809.0
2016-07-11,799.0
2016-07-08,792.0
2016-07-07,779.0
2016-07-06,755.0
2016-07-05,735.0
